evdev_init_buttons
KEY_RESERVED		RESERVED
KEY_ESC			ESC
KEY_1			1
KEY_2			2
KEY_3			3
KEY_4			4
KEY_5			5
KEY_6			6
KEY_7			7
KEY_8			8
KEY_9			9
KEY_0			0
KEY_MINUS		MINUS
KEY_EQUAL		EQUAL
KEY_BACKSPACE		BACKSPACE
KEY_TAB			TAB
KEY_Q			Q
KEY_W			W
KEY_E			E
KEY_R			R
KEY_T			T
KEY_Y			Y
KEY_U			U
KEY_I			I
KEY_O			O
KEY_P			P
KEY_LEFTBRACE		LEFTBRACE
KEY_RIGHTBRACE		RIGHTBRACE
KEY_ENTER		ENTER
KEY_LEFTCTRL		LEFTCTRL
KEY_A			A
KEY_S			S
KEY_D			D
KEY_F			F
KEY_G			G
KEY_H			H
KEY_J			J
KEY_K			K
KEY_L			L
KEY_SEMICOLON		SEMICOLON
KEY_APOSTROPHE		APOSTROPHE
KEY_GRAVE		GRAVE
KEY_LEFTSHIFT		LEFTSHIFT
KEY_BACKSLASH		BACKSLASH
KEY_Z			Z
KEY_X			X
KEY_C			C
KEY_V			V
KEY_B			B
KEY_N			N
KEY_M			M
KEY_COMMA		COMMA
KEY_DOT			DOT
KEY_SLASH		SLASH
KEY_RIGHTSHIFT		RIGHTSHIFT
KEY_KPASTERISK		KPASTERISK
KEY_LEFTALT		LEFTALT
KEY_SPACE		SPACE
KEY_CAPSLOCK		CAPSLOCK
KEY_F1			F1
KEY_F2			F2
KEY_F3			F3
KEY_F4			F4
KEY_F5			F5
KEY_F6			F6
KEY_F7			F7
KEY_F8			F8
KEY_F9			F9
KEY_F10			F10
KEY_NUMLOCK		NUMLOCK
KEY_SCROLLLOCK		SCROLLLOCK
KEY_KP7			KP7
KEY_KP8			KP8
KEY_KP9			KP9
KEY_KPMINUS		KPMINUS
KEY_KP4			KP4
KEY_KP5			KP5
KEY_KP6			KP6
KEY_KPPLUS		KPPLUS
KEY_KP1			KP1
KEY_KP2			KP2
KEY_KP3			KP3
KEY_KP0			KP0
KEY_KPDOT		KPDOT
KEY_ZENKAKUHANKAKU	ZENKAKUHANKAKU
KEY_102ND		102ND
KEY_F11			F11
KEY_F12			F12
KEY_RO			RO
KEY_KATAKANA		KATAKANA
KEY_HIRAGANA		HIRAGANA
KEY_HENKAN		HENKAN
KEY_KATAKANAHIRAGANA	KATAKANAHIRAGANA
KEY_MUHENKAN		MUHENKAN
KEY_KPJPCOMMA		KPJPCOMMA
KEY_KPENTER		KPENTER
KEY_RIGHTCTRL		RIGHTCTRL
KEY_KPSLASH		KPSLASH
KEY_SYSRQ		SYSRQ
KEY_RIGHTALT		RIGHTALT
KEY_LINEFEED		LINEFEED
KEY_HOME		HOME
KEY_UP			UP
KEY_PAGEUP		PAGEUP
KEY_LEFT		LEFT
KEY_RIGHT		RIGHT
KEY_END			END
KEY_DOWN		DOWN
KEY_PAGEDOWN		PAGEDOWN
KEY_INSERT		INSERT
KEY_DELETE		DELETE
KEY_MACRO		MACRO
KEY_MUTE		MUTE
KEY_VOLUMEDOWN		VOLUMEDOWN
KEY_VOLUMEUP		VOLUMEUP
KEY_POWER		POWER
KEY_KPEQUAL		KPEQUAL
KEY_KPPLUSMINUS		KPPLUSMINUS
KEY_PAUSE		PAUSE
KEY_SCALE		SCALE
KEY_KPCOMMA		KPCOMMA
KEY_HANGEUL		HANGEUL
KEY_HANGUEL		HANGUEL
KEY_HANJA		HANJA
KEY_YEN			YEN
KEY_LEFTMETA		LEFTMETA
KEY_RIGHTMETA		RIGHTMETA
KEY_COMPOSE		COMPOSE
KEY_STOP		STOP
KEY_AGAIN		AGAIN
KEY_PROPS		PROPS
KEY_UNDO		UNDO
KEY_FRONT		FRONT
KEY_COPY		COPY
KEY_OPEN		OPEN
KEY_PASTE		PASTE
KEY_FIND		FIND
KEY_CUT			CUT
KEY_HELP		HELP
KEY_MENU		MENU
KEY_CALC		CALC
KEY_SETUP		SETUP
KEY_SLEEP		SLEEP
KEY_WAKEUP		WAKEUP
KEY_FILE		FILE
KEY_SENDFILE		SENDFILE
KEY_DELETEFILE		DELETEFILE
KEY_XFER		XFER
KEY_PROG1		PROG1
KEY_PROG2		PROG2
KEY_WWW			WWW
KEY_MSDOS		MSDOS
KEY_COFFEE		COFFEE
KEY_SCREENLOCK		SCREENLOCK
KEY_DIRECTION		DIRECTION
KEY_CYCLEWINDOWS	CYCLEWINDOWS
KEY_MAIL		MAIL
KEY_BOOKMARKS		BOOKMARKS
KEY_COMPUTER		COMPUTER
KEY_BACK		BACK
KEY_FORWARD		FORWARD
KEY_CLOSECD		CLOSECD
KEY_EJECTCD		EJECTCD
KEY_EJECTCLOSECD	EJECTCLOSECD
KEY_NEXTSONG		NEXTSONG
KEY_PLAYPAUSE		PLAYPAUSE
KEY_PREVIOUSSONG	PREVIOUSSONG
KEY_STOPCD		STOPCD
KEY_RECORD		RECORD
KEY_REWIND		REWIND
KEY_PHONE		PHONE
KEY_ISO			ISO
KEY_CONFIG		CONFIG
KEY_HOMEPAGE		HOMEPAGE
KEY_REFRESH		REFRESH
KEY_EXIT		EXIT
KEY_MOVE		MOVE
KEY_EDIT		EDIT
KEY_SCROLLUP		SCROLLUP
KEY_SCROLLDOWN		SCROLLDOWN
KEY_KPLEFTPAREN		KPLEFTPAREN
KEY_KPRIGHTPAREN	KPRIGHTPAREN
KEY_NEW			NEW
KEY_REDO		REDO
KEY_F13			F13
KEY_F14			F14
KEY_F15			F15
KEY_F16			F16
KEY_F17			F17
KEY_F18			F18
KEY_F19			F19
KEY_F20			F20
KEY_F21			F21
KEY_F22			F22
KEY_F23			F23
KEY_F24			F24
KEY_PLAYCD		PLAYCD
KEY_PAUSECD		PAUSECD
KEY_PROG3		PROG3
KEY_PROG4		PROG4
KEY_DASHBOARD		DASHBOARD
KEY_SUSPEND		SUSPEND
KEY_CLOSE		CLOSE
KEY_PLAY		PLAY
KEY_FASTFORWARD		FASTFORWARD
KEY_BASSBOOST		BASSBOOST
KEY_PRINT		PRINT
KEY_HP			HP
KEY_CAMERA		CAMERA
KEY_SOUND		SOUND
KEY_QUESTION		QUESTION
KEY_EMAIL		EMAIL
KEY_CHAT		CHAT
KEY_SEARCH		SEARCH
KEY_CONNECT		CONNECT
KEY_FINANCE		FINANCE
KEY_SPORT		SPORT
KEY_SHOP		SHOP
KEY_ALTERASE		ALTERASE
KEY_CANCEL		CANCEL
KEY_BRIGHTNESSDOWN	BRIGHTNESSDOWN
KEY_BRIGHTNESSUP	BRIGHTNESSUP
KEY_MEDIA		MEDIA
KEY_SWITCHVIDEOMODE	SWITCHVIDEOMODE
KEY_KBDILLUMTOGGLE	KBDILLUMTOGGLE
KEY_KBDILLUMDOWN	KBDILLUMDOWN
KEY_KBDILLUMUP		KBDILLUMUP
KEY_SEND		SEND
KEY_REPLY		REPLY
KEY_FORWARDMAIL		FORWARDMAIL
KEY_SAVE		SAVE
KEY_DOCUMENTS		DOCUMENTS
KEY_BATTERY		BATTERY
KEY_BLUETOOTH		BLUETOOTH
KEY_WLAN		WLAN
KEY_UWB			UWB
KEY_UNKNOWN		UNKNOWN
KEY_VIDEO_NEXT		VIDEO_NEXT
KEY_VIDEO_PREV		VIDEO_PREV
KEY_BRIGHTNESS_CYCLE	BRIGHTNESS_CYCLE
KEY_BRIGHTNESS_ZERO	BRIGHTNESS_ZERO
KEY_DISPLAY_OFF		DISPLAY_OFF
KEY_WIMAX		WIMAX
KEY_RFKILL		RFKILL
KEY_MICMUTE		MICMUTE
BTN_MISC		Button MISC
BTN_0			Button 0
BTN_1			Button 1
BTN_2			Button 2
BTN_3			Button 3
BTN_4			Button 4
BTN_5			Button 5
BTN_6			Button 6
BTN_7			Button 7
BTN_8			Button 8
BTN_9			Button 9
BTN_MOUSE		Button MOUSE
BTN_LEFT		Button LEFT
BTN_RIGHT		Button RIGHT
BTN_MIDDLE		Button MIDDLE
BTN_SIDE		Button SIDE
BTN_EXTRA		Button EXTRA
BTN_FORWARD		Button FORWARD
BTN_BACK		Button BACK
BTN_TASK		Button TASK
BTN_JOYSTICK		Button JOYSTICK
BTN_TRIGGER		Button TRIGGER
BTN_THUMB		Button THUMB
BTN_THUMB2		Button THUMB2
BTN_TOP			Button TOP
BTN_TOP2		Button TOP2
BTN_PINKIE		Button PINKIE
BTN_BASE		Button BASE
BTN_BASE2		Button BASE2
BTN_BASE3		Button BASE3
BTN_BASE4		Button BASE4
BTN_BASE5		Button BASE5
BTN_BASE6		Button BASE6
BTN_DEAD		Button DEAD
BTN_GAMEPAD		Button GAMEPAD
BTN_A			Button A
BTN_B			Button B
BTN_C			Button C
BTN_X			Button X
BTN_Y			Button Y
BTN_Z			Button Z
BTN_TL			Button TL
BTN_TR			Button TR
BTN_TL2			Button TL2
BTN_TR2			Button TR2
BTN_SELECT		Button SELECT
BTN_START		Button START
BTN_MODE		Button MODE
BTN_THUMBL		Button THUMBL
BTN_THUMBR		Button THUMBR
BTN_DIGI		Button DIGI
BTN_TOOL_PEN		Button TOOL_PEN
BTN_TOOL_RUBBER		Button TOOL_RUBBER
BTN_TOOL_BRUSH		Button TOOL_BRUSH
